Rain ID,Date/Time,Nearest town,State,Latitude,Longitude,Total precipitation
2825,16-02-2008 09:35,BOWRAVILLE,NSW,-30.6317,152.8642,0
2826,18-02-2008 04:45,GLENDOWER MOUNTAIN,NSW,-31.1484,151.2345,0
2827,18-02-2008 05:00,YARROWITCH,NSW,-31.2484,152.0011,0
2828,18-02-2008 06:03,BENDEMEER,NSW,-30.8817,151.1511,0
2829,19-02-2008 03:30,TUGGERANONG,NSW,-35.4317,149.1512,0
2830,19-02-2008 03:30,NEWCASTLE,NSW,-32.9317,151.7845,0
2831,06-03-2008 04:48,OBERON,NSW,-33.6984,149.8679,0
2832,07-03-2008 03:07,LITHGOW,NSW,-33.4817,150.1512,0
2833,07-03-2008 03:31,HIGH RANGE,NSW,-34.3651,150.3179,0
2834,07-03-2008 05:34,ABBOTSBURY,NSW,-33.8651,150.8512,0
2835,29-01-2008 16:00,GUNN POINT,NT,-12.1718,130.9943,166
2836,18-03-2008 18:00,YAMBA,NSW,-29.4317,153.3595,0
2837,20-03-2008 03:30,GRAFTON AIRPORT,NSW,-29.7484,153.0345,0
2838,22-03-2008 06:50,LAKE NEPEAN,NSW,-34.3651,150.5846,0
2839,24-03-2008 08:20,ALBION PARK,NSW,-34.5817,150.7762,0
2840,24-03-2008 12:18,BALGOWNIE,NSW,-34.3901,150.8762,0
2841,24-03-2008 12:58,BARRENGARRY,NSW,-34.7151,150.5346,0
2842,29-03-2008 07:05,ROSSI,NSW,-35.4651,149.5012,0
2843,30-03-2008 08:35,RICHMOND NORTH,NSW,-33.5867,150.7112,0
2844,03-04-2008 08:15,LAKE NEPEAN,NSW,-34.3651,150.5846,0
2845,03-04-2008 12:35,NEWBRIDGE,NSW,-33.5651,149.3679,0
2846,04-04-2008 05:20,CAREYS PEAK,NSW,-32.0484,151.4511,0
2847,04-04-2008 07:00,NUNDLE,NSW,-31.4651,151.1345,0
2848,06-04-2008 01:17,EVANS HEAD,NSW,-29.1151,153.4345,0
2849,06-04-2008 03:30,ROUS RIVER,NSW,-28.2984,153.2678,0
2850,24-04-2008 22:00,NABIAC,NSW,-32.0984,152.3845,0
2851,14-03-2008 04:00,WOOLBROOK,NSW,-30.9651,151.3511,0
2852,24-03-2008 03:00,BOTANY,NSW,-33.9484,151.2012,0
2853,24-03-2008 03:40,CRONULLA,NSW,-34.0484,151.1512,0
2854,24-03-2008 03:40,AUDLEY,NSW,-34.0817,151.0512,0
2855,24-03-2008 04:45,LUCAS HEIGHTS,NSW,-34.0151,151.0012,0
2856,24-03-2008 03:19,LITTLE BAY,NSW,-33.9817,151.2429,0
2857,30-03-2008 09:35,BOX HILL,NSW,-33.6651,150.8846,0
2858,01-01-2008 00:00,KAMBALDA,WA,-31.2025,121.6681,70
2859,12-12-2008 00:00,LATHAM,WA,-29.7567,116.4447,117
